        79         35        160        179
       162         83        207        179
        83        142        207        179
        35         83        162        179
        83         35         79        179
       138        226        202        248
       226        138        202        179
       202        138         79        179
         5         83         35         79
        28          5         30          0
        28          5         83         30
         5         28         83         79
       108         28        138         79
       138        108         79        179
       108         83         79        179
        28        108         83         79
       108        138        226        179
       108         28         83         30
       108        226        227        179
        83        108         30        142
        83        108        142        179
       142        108        227        179
       233        134        212        249
       134        233        212        190
       207         83        162        190
       171         35        162        147
        35        171        162        190
        83         35        162        190
       171         78        212        190
        78        134        212        190
        35         78        171        190
        78         35         83        190
       142        242        207        397
       242        142        207        190
       207        142         83        190
         5         78         35         83
        30          5         26          0
        30          5         78         26
         5         30         78         83
       114         30        142         83
       142        114         83        190
       114         78         83        190
        30        114         78         83
       114        142        242        190
       114         30         78         26
       114        242        233        190
        78        114         26        134
        78        114        134        190
       134        114        233        190
       240        133        218        398
       133        240        218        191
       212         78        171        191
       170         35        171        147
        35        170        171        191
        78         35        171        191
       170         65        218        191
        65        133        218        191
        35         65        170        191
        65         35         78        191
       134        232        212        249
       232        134        212        191
       212        134         78        191
         5         65         35         78
        26          5         14          0
        26          5         65         14
         5         26         65         78
       111         26        134         78
       134        111         78        191
       111         65         78        191
        26        111         65         78
       111        134        232        191
       111         26         65         14
       111        232        240        191
        65        111         14        133
        65        111        133        191
       133        111        240        191
       241        126        211        251
       126        241        211        189
       218         65        170        189
       165         35        170        147
        35        165        170        189
        65         35        170        189
       165         59        211        189
        59        126        211        189
        35         59        165        189
        59         35         65        189
       133        243        218        398
       243        133        218        189
       218        133         65        189
         5         59         35         65
        14          5         10          0
        14          5         59         10
         5         14         59         65
        97         14        133         65
       133         97         65        189
        97         59         65        189
        14         97         59         65
        97        133        243        189
        97         14         59         10
        97        243        241        189
        59         97         10        126
        59         97        126        189
       126         97        241        189
       235        132        205        250
       132        235        205        186
       211         59        165        186
       161         35        165        147
        35        161        165        186
        59         35        165        186
       161         64        205        186
        64        132        205        186
        35         64        161        186
        64         35         59        186
       126        239        211        251
       239        126        211        186
       211        126         59        186
         5         64         35         59
        10          5         13          0
        10          5         64         13
         5         10         64         59
        96         10        126         59
       126         96         59        186
        96         64         59        186
        10         96         64         59
        96        126        239        186
        96         10         64         13
        96        239        235        186
        64         96         13        132
        64         96        132        186
       132         96        235        186
       237        144        215        252
       144        237        215        185
       205         64        161        185
       164         35        161        147
        35        164        161        185
        64         35        161        185
       164         76        215        185
        76        144        215        185
        35         76        164        185
        76         35         64        185
       132        234        205        250
       234        132        205        185
       205        132         64        185
         5         76         35         64
        13          5         25          0
        13          5         76         25
         5         13         76         64
       116         13        132         64
       132        116         64        185
       116         76         64        185
        13        116         76         64
       116        132        234        185
       116         13         76         25
       116        234        237        185
        76        116         25        144
        76        116        144        185
       144        116        237        185
       247        139        216        253
       139        247        216        195
       215         76        164        195
       169         35        164        147
        35        169        164        195
        76         35        164        195
       169         80        216        195
        80        139        216        195
        35         80        169        195
        80         35         76        195
       144        246        215        252
       246        144        215        195
       215        144         76        195
         5         80         35         76
        25          5         24          0
        25          5         80         24
         5         25         80         76
       118         25        144         76
       144        118         76        195
       118         80         76        195
        25        118         80         76
       118        144        246        195
       118         25         80         24
       118        246        247        195
        80        118         24        139
        80        118        139        195
       139        118        247        195
       230        138        202        248
       138        230        202        184
       216         80        169        184
       160         35        169        147
        35        160        169        184
        80         35        169        184
       160         79        202        184
        79        138        202        184
        35         79        160        184
        79         35         80        184
       139        238        216        253
       238        139        216        184
       216        139         80        184
         5         79         35         80
        24          5         28          0
        24          5         79         28
         5         24         79         80
       110         24        139         80
       139        110         80        184
       110         79         80        184
        24        110         79         80
       110        139        238        184
       110         24         79         28
       110        238        230        184
        79        110         28        138
        79        110        138        184
       138        110        230        184
       245        144        219        252
       144        245        219        194
       213         66        167        194
       168         33        167        146
        33        168        167        194
        66         33        167        194
       168         71        219        194
        71        144        219        194
        33         71        168        194
        71         33         66        194
       128        244        213        381
       244        128        213        194
       213        128         66        194
         2         71         33         66
        20          2         25          0
        20          2         71         25
         2         20         71         66
       112         20        128         66
       128        112         66        194
       112         71         66        194
        20        112         71         66
       112        128        244        194
       112         20         71         25
       112        244        245        194
        71        112         25        144
        71        112        144        194
       144        112        245        194
       234        132        214        250
       132        234        214        193
       219         71        168        193
       159         33        168        146
        33        159        168        193
        71         33        168        193
       159         56        214        193
        56        132        214        193
        33         56        159        193
        56         33         71        193
       144        237        219        252
       237        144        219        193
       219        144         71        193
         2         56         33         71
        25          2         13          0
        25          2         56         13
         2         25         56         71
       116         25        144         71
       144        116         71        193
       116         56         71        193
        25        116         56         71
       116        144        237        193
       116         25         56         13
       116        237        234        193
        56        116         13        132
        56        116        132        193
       132        116        234        193
       390        122        376        382
       122        390        376        386
       214         56        159        386
       371         33        159        146
        33        371        159        386
        56         33        159        386
       371         46        376        386
        46        122        376        386
        33         46        371        386
        46         33         56        386
       132        396        214        250
       396        132        214        386
       214        132         56        386
         2         46         33         56
        13          2          8          0
        13          2         46          8
         2         13         46         56
        91         13        132         56
       132         91         56        386
        91         46         56        386
        13         91         46         56
        91        132        396        386
        91         13         46          8
        91        396        390        386
        46         91          8        122
        46         91        122        386
       122         91        390        386
       358        121        350        340
       121        358        350        364
       376         46        371        364
       357         33        371        146
        33        357        371        364
        46         33        371        364
       357         44        350        364
        44        121        350        364
        33         44        357        364
        44         33         46        364
       122        372        376        382
       372        122        376        364
       376        122         46        364
         2         44         33         46
         8          2          7          0
         8          2         44          7
         2          8         44         46
        85          8        122         46
       122         85         46        364
        85         44         46        364
         8         85         44         46
        85        122        372        364
        85          8         44          7
        85        372        358        364
        44         85          7        121
        44         85        121        364
       121         85        358        364
       314        129        324        302
       129        314        324        336
       350         44        357        336
       346         33        357        146
        33        346        357        336
        44         33        357        336
       346         53        324        336
        53        129        324        336
        33         53        346        336
        53         33         44        336
       121        332        350        340
       332        121        350        336
       350        121         44        336
         2         53         33         44
         7          2         11          0
         7          2         53         11
         2          7         53         44
        89          7        121         44
       121         89         44        336
        89         53         44        336
         7         89         53         44
        89        121        332        336
        89          7         53         11
        89        332        314        336
        53         89         11        129
        53         89        129        336
       129         89        314        336
       300        136        217        299
       136        300        217        323
       324         53        346        323
       166         33        346        146
        33        166        346        323
        53         33        346        323
       166         68        217        323
        68        136        217        323
        33         68        166        323
