Orientation: O[row][col]

Sp_ID O[0][0] O[0][1] O[0][2] O[1][0] O[1][1] O[1][2] O[2][0] O[2][1] O[2][2] X Y Z a b c alpha beta gamma Err1 Err2 Err3 MeanRadius Confidence 
6157 0.120190 0.059045 0.990993 0.978516 0.161392 -0.128293 -0.167513 0.985123 -0.038379 -386.388156 -143.433095 14.814265 3.615917 3.613903 3.607394 90.078369 90.177545 89.802107 77.966416 0.217620 0.139021 77.019251 0.833333 
6160 -0.217075 0.202373 -0.954947 -0.946830 0.194334 0.256413 0.237470 0.959833 0.149428 313.464930 -124.277129 39.535260 3.613137 3.613949 3.614318 89.995149 90.139067 90.014065 59.086326 0.061636 0.051880 87.382077 0.833333 
6169 0.016079 -0.079342 0.996718 0.344518 0.936243 0.068971 -0.938642 0.342278 0.042389 -51.167374 294.889765 1.521699 3.615636 3.616817 3.606859 90.124190 90.052235 89.987108 31.394128 0.038583 0.042422 147.027240 0.750000 
6178 0.134653 -0.263639 0.955177 0.987937 0.110114 -0.108879 -0.076473 0.958316 0.275286 -65.797745 -147.052115 19.182247 3.616850 3.614153 3.615229 90.013793 90.042933 90.006591 35.047989 0.056963 0.049179 93.002945 1.000000 
6179 0.086157 0.497038 0.863441 0.714592 0.573067 -0.401189 -0.694215 0.651574 -0.305806 -245.329968 -370.125140 25.156601 3.612804 3.617009 3.611071 89.968404 89.997313 90.201767 42.674324 0.065341 0.055885 110.260662 0.750000 
6180 -0.232678 0.340284 -0.911081 -0.971414 -0.126664 0.200778 -0.047080 0.931753 0.360029 -184.259165 -310.968068 1.188959 3.615817 3.615709 3.616641 90.024332 89.961288 90.006488 25.190187 0.062755 0.051095 170.271554 0.750000 
6186 0.074247 -0.017205 0.997091 0.642789 0.765259 -0.034660 -0.762437 0.643493 0.067877 486.672931 93.937239 23.503016 3.611310 3.616857 3.623100 89.975237 90.134170 89.952750 107.789683 0.057369 0.071675 62.287918 0.750000 
6191 0.043233 0.296257 0.954129 0.470181 0.836617 -0.281074 -0.881511 0.460765 -0.103125 15.351606 197.352659 18.980669 3.615082 3.615018 3.616371 90.042320 90.002829 89.993603 22.347739 0.017062 0.015750 351.602351 0.833333 
6196 0.143063 -0.111136 0.983454 0.988742 0.060066 -0.137044 -0.043841 0.991988 0.118478 117.805899 291.093132 55.549477 3.614426 3.614494 3.607952 90.011984 90.100366 90.034189 79.852230 0.131544 0.097913 281.735829 1.000000 
6204 0.086735 -0.289695 0.953181 0.656787 0.736041 0.163936 -0.749072 0.611818 0.254108 395.593170 -5.646719 3.494132 3.615290 3.614396 3.614983 90.051640 90.003682 90.023206 38.366070 0.063079 0.051543 186.655221 0.750000 
6205 -0.153183 0.860065 0.486645 -0.514715 0.350940 -0.782247 -0.843566 -0.370310 0.388930 273.923003 174.577563 2.642441 3.618144 3.614728 3.616185 90.050059 89.978137 89.950133 38.826529 0.018772 0.019290 204.505804 0.916667 
